,City,Country,Cloudiness,Humidity,Max Temp,Wind Speed,Lat,Lng
98,puerto ayora,EC,20,61,78.8,23.04,-0.74,-90.35
99,yantai,CN,80,100,69.69,3.38,37.53,121.39
100,san quintin,PH,8,86,67.89,3.71,17.54,120.52
101,puerto escondido,MX,90,70,86,3.36,15.86,-97.07
102,monte patria,CL,12,84,48.63,2.59,-30.69,-70.96
103,saldanha,PT,0,73,61.5,3.15,41.42,-6.55
104,jamestown,AU,88,80,44.13,9.98,-33.21,138.6
105,cabo san lucas,MX,90,94,77,11.41,22.89,-109.91
106,caravelas,BR,20,97,76.71,23.51,-17.73,-39.27
107,beringovskiy,RU,68,91,49.26,10.87,63.05,179.32
108,te anau,NZ,20,81,45.75,11.88,-45.41,167.72
109,soure,PT,40,88,66.2,9.17,40.06,-8.63
110,tiksi,RU,92,100,32.79,5.73,71.64,128.87
111,mezen,RU,0,90,41.07,5.5,65.85,44.24
112,bambous virieux,MU,20,73,73.4,11.41,-20.34,57.76
113,talnakh,RU,92,99,36.84,21.5,69.49,88.39
114,koygorodok,RU,92,99,46.02,5.61,60.44,51.01
115,roma,IT,0,83,77,3.36,41.89,12.48
116,paez,CO,40,43,91.4,9.17,2.93,-76.46
117,lompoc,US,1,49,71.96,4.7,34.64,-120.46
118,upata,VE,20,63,85.08,8.86,8.02,-62.41
119,bubaque,GW,75,88,78.8,4.7,11.28,-15.83
120,los llanos de aridane,ES,75,73,75.2,5.82,28.66,-17.92
121,biograd na moru,HR,0,88,66.2,1.7,43.94,15.45
122,khatanga,RU,68,93,29.91,8.63,71.98,102.47
123,bredasdorp,ZA,24,62,55.4,8.05,-34.53,20.04
124,konstantinovka,MD,32,77,55.29,5.61,47.99,28.86
125,khani,GE,75,88,66.2,2.24,41.96,42.96
126,terrace,CA,40,57,51.8,19.46,54.52,-128.61
127,rawson,AR,92,61,54.39,9.53,-43.3,-65.11
128,kualakapuas,ID,0,92,74.55,2.37,-3.01,114.39
129,alofi,NU,75,73,75.2,10.29,-19.06,-169.92
130,katsuura,JP,24,98,69.6,3.71,33.93,134.5
131,troyes,FR,0,68,68,2.24,48.3,4.07
132,constitucion,MX,75,56,73.4,5.82,23.99,-104.67
133,bluff,AU,0,85,59.34,8.41,-23.58,149.07
134,hobart,AU,20,75,42.8,5.82,-42.88,147.33
135,barrow,AR,88,95,59.88,18.03,-38.31,-60.23
136,chokurdakh,RU,36,93,32.25,3.15,70.62,147.9
137,pergamino,AR,20,48,76.71,15.01,-33.9,-60.57
138,port hardy,CA,90,76,51.8,6.93,50.7,-127.42
139,opuwo,NA,0,50,60.33,4.27,-18.06,13.84
140,port alfred,ZA,8,96,62.58,11.54,-33.59,26.89
141,sao joao da barra,BR,75,69,78.8,5.82,-21.64,-41.05
142,fort nelson,CA,75,49,46.4,3.38,58.81,-122.69
143,duku,NG,8,90,78.06,7.18,11.24,4.91
144,dhidhdhoo,MV,32,100,83.28,15.46,6.88,73.1
145,colares,PT,0,82,71.6,9.17,38.8,-9.45
146,inirida,CO,56,93,80.49,1.36,3.87,-67.92
147,chuy,UY,36,91,65.82,8.63,-33.69,-53.46
148,mar del plata,AR,76,50,54.75,7.18,-46.43,-67.52
149,okhotsk,RU,92,100,47.46,12.88,59.36,143.24
150,quatre cocos,MU,20,73,73.4,11.41,-20.21,57.76
151,sovetsk,RU,8,94,57.63,5.17,55.08,21.89
152,torbay,CA,90,100,41,20.8,47.66,-52.73
153,victoria,BN,75,88,80.6,5.82,5.28,115.24
154,grand-santi,GF,12,82,81.93,2.37,4.27,-54.38
155,lacolle,CA,90,82,78.98,11.41,45.08,-73.37
156,saint anthony,US,1,4,73.94,9.17,43.97,-111.68
157,imbituba,BR,0,83,69.8,10.29,-28.24,-48.67
158,san miguel,AR,40,60,73.4,10.29,-34.54,-58.72
159,hailar,CN,68,71,45.75,9.64,49.2,119.7
160,lorengau,PG,92,100,74.82,3.04,-2.02,147.27
161,pacific grove,US,1,49,69.8,8.05,36.62,-121.92
162,revelstoke,CA,75,66,55.4,6.93,50.99,-118.19
163,bethel,US,75,100,46.94,4.61,60.79,-161.76
164,saint-ambroise,FR,0,77,66.2,5.82,47.25,-0.65
165,maniitsoq,GL,0,85,41.97,5.28,65.42,-52.9
166,gamba,CN,76,77,27.84,2.71,28.28,88.52
167,spasskoye,RU,12,85,50.97,15.01,55.86,45.7
168,provideniya,RU,0,95,47.91,12.66,64.42,-173.23
169,micheweni,TZ,68,100,77.88,12.88,-4.97,39.83
170,farsala,GR,20,72,68,3.36,39.3,22.38
171,cine,TR,0,47,77,5.82,37.61,28.06
172,ponta delgada,PT,20,69,73.4,5.82,37.73,-25.67
173,richards bay,ZA,36,99,67.08,3.6,-28.77,32.06
174,nedjo,ET,92,92,62.13,2.93,9.5,35.5
175,vila velha,BR,0,69,82.4,20.8,-3.71,-38.6
176,majenang,ID,12,91,67.71,2.48,-7.3,108.76
177,tasiilaq,GL,20,52,42.8,20.8,65.61,-37.64
178,chavakkad,IN,20,78,78.8,6.73,10.53,76.05
179,half moon bay,US,20,62,69.98,5.82,37.46,-122.43
180,zlobin,HR,0,77,69.8,8.05,45.29,14.65
181,viedma,AR,68,98,54.66,16.8,-40.81,-62.99
182,tonekabon,IR,75,83,73.4,0.69,36.82,50.88
183,takoradi,GH,80,96,77.43,7.29,4.89,-1.75
184,pingliang,CN,92,98,53.49,2.93,35.54,106.68
185,sinazongwe,ZM,0,62,68.7,3.6,-17.26,27.46
186,clyde river,CA,75,64,33.8,2.24,70.47,-68.59
187,sinnamary,GF,44,95,81.66,7.52,5.38,-52.96
188,abnub,EG,0,51,80.6,8.05,27.27,31.15
189,ochamchira,GE,12,100,69.42,2.82,42.71,41.47
190,broome,GB,0,72,68,11.41,52.47,1.45
191,longyearbyen,NO,20,68,30.2,13.87,78.22,15.63
192,bosaso,SO,0,100,82.29,3.38,11.28,49.18
193,marawi,PH,68,100,68.61,2.37,8,124.29
194,lodja,CD,20,92,73.38,3.71,-3.52,23.6
195,norman wells,CA,20,47,35.6,16.11,65.28,-126.83
196,newtownards,GB,20,67,60.8,14.99,54.59,-5.69
197,mecca,SA,0,74,75.45,2.93,21.43,39.83
198,tomatlan,MX,24,52,89.94,6.17,19.93,-105.25
199,mount gambier,AU,88,79,46.29,4.72,-37.83,140.78
200,muros,ES,20,82,62.6,3.36,42.77,-9.06
201,aklavik,CA,20,74,30.2,4.7,68.22,-135.01
202,coihaique,CL,75,54,53.6,2.24,-45.58,-72.07
203,dongli,CN,0,78,82.4,2.24,24.18,117.61
204,guerrero negro,MX,100,58,81.48,8.08,27.97,-114.04
205,parkersburg,US,20,58,87.44,3.36,39.27,-81.55
206,slonim,BY,8,78,54.66,5.61,53.09,25.32
207,auki,NG,12,77,76.44,7.18,12.18,6.51
208,kultuk,RU,92,100,34.59,7.52,51.73,103.71
209,ouallam,NE,0,56,83.01,6.73,14.32,2.08
210,san andres,PH,44,100,81.66,14.9,13.32,122.68
211,pedernales,EC,56,73,82.38,7.74,0.07,-80.05
212,iberia,PE,24,56,88.77,2.93,-11.41,-69.49
213,ostrovnoy,RU,64,80,43.68,18.25,68.05,39.51
214,blagoyevo,RU,92,98,46.65,2.04,63.37,47.92
215,adrar,DZ,32,19,95,12.75,27.87,-0.29
216,stokmarknes,NO,0,87,48.2,4.7,68.56,14.91
217,mananjary,MG,0,75,48.9,5.39,-19.16,46.8
218,ulladulla,AU,0,76,48.2,3.36,-35.36,150.48
219,el sauce,SV,36,59,83.19,2.82,13.67,-87.8
220,lithgow,AU,0,100,42.8,3.27,-33.48,150.16
221,olmos,PE,0,68,79.32,4.05,-5.99,-79.75
222,emerald,AU,0,82,60.6,9.86,-23.53,148.16
223,mattawa,CA,40,63,60.8,4.7,46.32,-78.7
224,wanning,AT,0,72,68,1.12,48.64,13.53
225,progreso,UY,75,69,73.4,11.41,-34.68,-56.22
226,yumen,CN,0,49,48.72,11.32,40.29,97.04
227,beloha,MG,0,69,61.05,2.59,-25.17,45.06
228,kalmunai,LK,8,88,74.28,3.38,7.42,81.82
229,fortuna,ES,40,83,77,5.82,38.18,-1.13
230,kohlu,PK,0,72,66.99,4.94,29.9,69.25
231,cherskiy,RU,0,87,36.48,2.93,68.75,161.3
232,raja sansi,IN,0,83,77,2.93,31.72,74.8
233,deputatskiy,RU,92,88,31.98,6.96,69.3,139.9
234,khorol,UA,8,86,52.86,2.93,49.78,33.27
235,faanui,PF,92,100,74.01,23.29,-16.48,-151.75
236,pangnirtung,CA,20,59,35.6,9.17,66.15,-65.72
237,bokovskaya,RU,24,82,54.39,11.65,49.23,41.83
238,kavaratti,IN,76,100,82.38,14.67,10.57,72.64
239,airai,TL,0,73,57.81,1.7,-8.93,125.41
240,podporozhye,RU,0,90,46.47,7.4,60.91,34.16
241,chagoda,RU,0,91,45.66,6.85,59.16,35.33
242,zyryanka,RU,56,95,35.94,4.5,65.73,150.89
243,naliya,IN,56,91,74.01,8.08,23.26,68.83
244,lukh,AF,0,78,51.6,3.83,36.76,68.87
245,tabou,CI,64,99,78.96,8.97,4.42,-7.36
246,omsukchan,RU,92,97,37.47,3.38,62.53,155.8
247,oneida,US,90,90,87.98,13.87,41.07,-90.23
248,doha,QA,0,71,93.2,3.36,25.29,51.53
249,kalyan,IN,20,74,82.4,5.82,19.24,73.14
250,nouadhibou,MR,0,73,75.2,13.87,20.93,-17.03
251,northam,GB,75,82,64.4,14.99,51.04,-4.21
252,scottsbluff,US,1,59,77,6.93,41.87,-103.67
253,porto belo,BR,20,45,82.4,17.22,-27.15,-48.54
254,ambon,FR,20,93,64.4,9.17,47.55,-2.56
255,aksha,RU,0,78,37.2,2.59,50.28,113.29
256,puerto leguizamo,CO,36,80,83.73,2.48,-0.19,-74.78
257,san patricio,PY,0,73,74.73,2.71,-26.98,-56.83
258,purpe,RU,92,98,46.92,8.52,64.48,76.69
259,nikolskoye,RU,75,82,57.2,4.47,59.7,30.79
260,bayan,MN,0,67,30.99,2.93,47.25,107.54
261,hobyo,SO,0,89,75.63,16.46,5.35,48.53
262,bay roberts,CA,90,100,41,20.8,47.58,-53.28
263,hofn,IS,92,100,46.11,24.4,64.25,-15.21
264,khuzdar,PK,0,82,55.83,2.37,27.8,66.62
265,anjiang,CN,8,97,67.98,2.15,27.32,110.14
266,barinas,VE,75,46,91.4,7.96,8.64,-70.23
267,linxia,CN,100,97,47.28,2.71,35.6,103.21
268,lata,IN,0,74,51.15,2.71,30.78,78.62
269,saint-philippe,CA,90,82,78.98,11.41,45.36,-73.48
270,laguna,MX,40,44,93.2,4.7,27.52,-110.01
271,podgornoye,RU,44,92,35.4,2.93,57.79,82.64
272,karasjok,NO,75,70,48.2,19.46,69.47,25.52
273,dicabisagan,PH,76,100,75,7.18,17.08,122.42
274,rongcheng,CN,68,97,65.1,2.82,37.16,122.42
275,ballina,IE,92,100,52.23,19.71,54.11,-9.15
276,riberalta,BO,75,59,89.6,11.41,-11,-66.08
277,monteagudo,BO,0,36,91.4,5.82,-19.8,-63.96
278,zhuhai,CN,0,81,48.2,4.47,40.71,112.04
279,buraydah,SA,0,38,75.2,2.24,26.33,43.97
280,jacqueville,CI,20,83,80.6,9.17,5.21,-4.42
281,arraial do cabo,BR,75,58,86,7.29,-22.97,-42.02
282,zhiryatino,RU,0,87,48.09,3.15,53.22,33.73
283,praia,BR,20,69,77,2.24,-20.25,-43.81
284,kasempa,ZM,0,33,67.98,7.96,-13.46,25.83
285,minab,IR,20,79,86,6.93,27.15,57.07
286,panzhihua,CN,88,98,59.34,2.59,26.59,101.72
287,padang,ID,64,100,78.15,2.26,-0.92,100.36
288,mahebourg,MU,20,73,73.4,11.41,-20.41,57.7
289,eyl,SO,8,87,75.81,17.81,7.98,49.82
290,san juan de la maguana,DO,75,70,87.8,16.11,18.81,-71.23
291,southbridge,US,20,88,78.08,4.7,42.08,-72.03
292,lagdo,CM,20,88,80.6,2.24,9.06,13.67
293,codrington,AU,0,83,57.27,5.73,-28.95,153.24
294,szaszvar,HU,0,75,60.33,1.36,46.28,18.38
295,am timan,TD,32,75,76.8,2.93,11.04,20.28
296,dalvik,SE,0,55,66.2,11.41,57.79,14.13
297,bell ville,AR,24,65,74.91,11.77,-32.63,-62.69
298,lebork,PL,0,59,66.2,5.82,54.54,17.75
299,meulaboh,ID,68,100,76.53,1.36,4.14,96.13
300,kostomuksha,RU,0,86,44.85,5.95,64.59,30.6
301,ancud,CL,92,99,47.28,8.19,-41.87,-73.83
302,castro,CL,92,100,46.83,5.39,-42.48,-73.76
303,itarema,BR,0,58,83.91,20.04,-2.92,-39.92
304,durant,US,1,41,95,4.7,33.99,-96.37
305,port hedland,AU,92,45,66.2,8.05,-20.31,118.58
306,devgarh,IN,0,61,54.03,2.15,31.13,77.45
307,karratha,AU,92,19,69.78,5.06,-20.74,116.85
308,mont-de-marsan,FR,0,73,75.2,6.93,43.89,-0.5
309,shingu,JP,0,100,75.36,6.17,33.72,135.99
310,salekhard,RU,56,90,39.09,5.17,66.54,66.62
311,palmer,AU,20,57,51.8,14.99,-34.85,139.16
312,hongjiang,CN,80,98,70.95,2.71,27.21,109.83
313,zarand,IR,48,25,62.67,2.48,30.81,56.57
314,kalmar,SE,0,93,57.2,5.82,56.66,16.36
315,misratah,LY,20,92,76.98,8.41,32.38,15.09
316,carnarvon,ZA,0,79,38.55,6.96,-30.97,22.13
317,tsumeb,NA,0,44,63.3,2.59,-19.25,17.72
318,ahuimanu,US,75,69,82.04,9.17,21.44,-157.84
319,srednekolymsk,RU,76,90,36.3,2.93,67.46,153.71
320,noumea,NC,8,82,60.8,8.75,-22.28,166.46
321,la tuque,CA,32,72,62.13,4.94,47.44,-72.79
322,dunedin,NZ,0,85,45.93,2.71,-45.87,170.5
323,yar-sale,RU,68,100,45.66,10.98,66.83,70.83
324,tanabe,JP,0,91,67.44,4.61,33.73,135.39
325,parana,BR,75,44,95,6.93,-7.52,-72.89
326,presidente medici,BR,48,69,87.96,2.15,-11.18,-61.9
327,ponta do sol,BR,92,96,65.55,6.73,-20.63,-46
328,thai nguyen,VN,75,100,77,4.7,21.59,105.84
329,wonthaggi,AU,92,82,46.65,7.74,-38.6,145.59
330,taoudenni,ML,32,36,85.35,4.5,22.68,-3.98
331,margate,AU,20,75,42.8,5.82,-43.03,147.26
332,keningau,MY,75,88,78.8,5.82,5.33,116.16
333,kovur,IN,88,92,74.46,10.2,14.5,79.99
334,nishihara,JP,90,93,68,5.17,35.74,139.53
335,nome,US,40,50,95,5.82,30.04,-94.42
336,awbari,LY,0,31,73.56,7.07,26.59,12.77
337,biak,ID,56,100,74.46,4.83,-0.91,122.88
338,ocos,GT,75,83,89.6,5.82,14.51,-92.19
339,dakoro,NE,48,93,70.68,3.04,14.51,6.76
340,mana,RS,0,88,62.6,1.12,43.52,20.24
341,maceio,BR,40,69,80.6,14.99,-9.67,-35.74
342,muana,BR,36,77,85.89,11.21,-1.53,-49.22
343,mitu,IR,36,67,53.49,2.15,36.2,46.09
344,lishu,CN,0,81,45.48,2.71,43.31,124.32
345,nara,JP,0,73,73.4,11.41,34.68,135.8
346,mayo,CA,20,44,39.2,3.6,63.59,-135.9
347,kruisfontein,ZA,92,95,57.81,15.9,-34,24.73
348,necochea,AR,88,67,67.53,22.73,-38.55,-58.74
349,buala,SB,64,100,79.23,4.5,-8.15,159.59
350,douentza,ML,0,63,79.23,5.39,15.01,-2.95
351,ostrovskoye,RU,8,80,47.91,16.8,57.81,42.24
352,abashiri,JP,0,61,52.86,6.73,44.01,144.25
353,kitimat,CA,40,57,51.8,19.46,54.02,-128.69
354,guanaja,CU,75,66,89.6,9.17,23.08,-82.07
355,port lincoln,AU,88,90,53.76,14.34,-34.72,135.86
356,altamira,BR,75,52,93.2,3.36,-3.2,-52.21
357,sioux lookout,CA,40,66,59,5.82,50.1,-91.92
358,sabzevar,IR,80,42,58.62,5.39,36.21,57.68
359,krasnokamensk,RU,32,82,41.07,3.94,50.1,118.04
360,touros,BR,92,81,79.05,19.37,-5.2,-35.46
361,kahului,US,40,69,82.04,13.87,20.89,-156.47
362,beniganj,IN,0,84,70.14,2.71,27.28,80.45
363,abha,SA,0,73,69.8,3.36,18.22,42.5
364,talaya,RU,0,77,30.45,5.39,55.79,84.89
365,burmakino,RU,24,76,50.88,14.56,57.43,40.31
366,miajadas,ES,8,75,70.59,3.83,39.15,-5.91
367,naerbo,NO,75,93,60.8,19.46,58.67,5.65
368,sao filipe,CV,0,97,77.16,10.42,14.9,-24.5
369,bereda,ES,40,68,66.2,3.36,43.27,-7.54
370,malanje,AO,8,77,70.68,6.17,-9.54,16.35
371,nanortalik,GL,88,88,41.16,16.02,60.14,-45.24
372,aykhal,RU,56,85,32.16,2.15,65.95,111.51
373,thinadhoo,MV,88,100,82.38,6.73,0.53,72.93
374,caborca,MX,8,38,91.11,6.85,30.58,-111.1
375,pincher creek,CA,90,80,41,2.24,49.49,-113.95
376,zhigansk,RU,64,76,37.11,10.2,66.77,123.37
377,teguldet,RU,0,74,28.38,4.83,57.31,88.17
378,prince rupert,CA,90,71,53.6,2.24,54.32,-130.32
379,paso de carrasco,UY,75,60,73.4,9.17,-34.86,-56.05
380,san carlos,VE,20,87,81.48,6.06,9.66,-68.59
381,tual,ID,0,100,79.68,16.69,-5.67,132.75
382,vestmanna,FO,92,100,48.2,8.05,62.16,-7.17
383,banjarmasin,ID,48,100,77.25,4.16,-3.32,114.59
384,gigmoto,PH,68,100,78.96,6.4,13.78,124.39
385,mehamn,NO,75,87,48.2,13.87,71.03,27.85
386,sjovegan,NO,75,100,44.6,2.24,68.87,17.85
387,brooks,CA,92,83,49.08,11.21,50.57,-111.89
388,aksarka,RU,68,89,39.99,6.62,66.56,67.8
389,huayucachi,PE,64,85,47.55,1.7,-12.13,-75.23
390,basco,US,40,88,89.96,10.29,40.33,-91.2
391,broken hill,AU,0,75,43.86,11.77,-31.97,141.45
392,grindavik,IS,75,81,48.2,5.82,63.84,-22.43
393,seymchan,RU,92,98,38.46,14,62.93,152.39
394,madera,US,1,33,78.8,5.82,36.96,-120.06
395,hambantota,LK,92,100,76.08,17.47,6.12,81.12
396,crepy-en-valois,FR,0,82,69.8,8.05,49.23,2.89
397,maragogi,BR,92,82,77.16,10.98,-9.01,-35.22
398,requena,ES,75,94,73.4,5.82,39.49,-1.1
399,svetlaya,RU,0,100,56.46,11.65,46.54,138.33
400,gat,SN,0,78,82.4,6.06,14.69,-16.54
401,zhaozhou,CN,12,88,43.32,2.71,45.71,125.27
402,kosikha,RU,0,76,29.64,2.82,53.36,84.58
403,san juan evangelista,MX,75,79,87.8,11.41,17.88,-95.14
404,urla,TR,0,47,77,18.34,38.32,26.77
405,mastic beach,US,90,93,75.92,4.7,40.77,-72.85
406,alampur,IN,92,96,69.96,7.85,15.88,78.14
407,tucuman,PE,0,57,66.09,3.71,-17.17,-70.89
408,indianola,US,1,43,89.06,16.11,40.24,-100.42
409,tabor,SI,0,72,66.2,3.36,46.54,15.64
410,tommot,RU,44,78,39.54,3.15,58.97,126.27
411,marathon,CA,75,71,51.8,6.93,48.72,-86.38
412,tuatapere,NZ,0,88,52.23,18.37,-46.13,167.69
413,natal,BR,75,65,82.4,21.92,-5.81,-35.21
414,ratnagiri,IN,68,100,79.23,10.42,16.98,73.3
415,rajnagar,BD,56,86,83.37,2.82,24.52,91.87
416,walvis bay,NA,0,76,57.2,10.29,-22.95,14.51
417,iqaluit,CA,75,64,33.8,8.05,63.75,-68.52
418,sao felix do xingu,BR,36,78,80.85,3.04,-6.64,-51.99
419,faya,SA,0,73,69.8,3.36,18.39,42.45
420,vilyuysk,RU,56,79,35.31,5.5,63.75,121.63
421,magdagachi,RU,0,84,37.11,2.48,53.45,125.8
422,rincon,US,40,46,95,5.82,32.3,-81.24
423,vardo,US,90,26,84.2,11.41,39.62,-77.74
424,kingsport,US,20,58,84.02,6.93,36.55,-82.56
425,yerbogachen,RU,0,96,36.21,4.61,61.28,108.01
426,marfino,RU,0,81,50,8.95,56.07,37.56
427,comodoro rivadavia,AR,20,81,46.4,5.82,-45.87,-67.48
428,esso,RU,92,100,37.92,2.93,55.93,158.7
429,vestmannaeyjar,IS,0,98,46.47,11.88,63.44,-20.27
430,bitung,ID,20,94,73.4,2.24,1.44,125.19
431,ayni,TJ,0,63,41.79,2.93,39.39,68.54
432,klaksvik,FO,92,100,48.2,8.05,62.23,-6.59
433,ningxiang,CN,0,94,78.8,2.24,28.28,112.55
434,daru,SL,48,95,74.64,3.6,7.99,-10.85
435,toppenish,US,1,35,66.92,3.36,46.38,-120.31
436,saint-raymond,CA,1,93,50,5.82,46.89,-71.84
437,georgetown,GY,40,66,87.8,9.17,6.8,-58.16
438,belle fourche,US,1,52,71.6,19.46,44.67,-103.85
439,ankpa,NG,36,98,72.57,3.71,7.37,7.63
440,kailua,US,75,69,82.04,9.17,21.39,-157.74
441,pisco,PE,0,30,71.6,14.99,-13.71,-76.2
442,resistencia,AR,0,37,84.2,8.05,-27.45,-58.99
443,avera,US,40,44,96.8,3.36,33.19,-82.53
444,gongzhuling,CN,0,82,45.93,3.15,43.5,124.81
445,belaya gora,RU,92,97,37.2,3.71,68.54,146.19
446,kayerkan,RU,92,94,37.83,24.74,69.35,87.76
447,sitka,US,0,40,94.08,16.24,37.17,-99.65
448,hirara,JP,0,99,83.64,13.89,24.8,125.28
449,vrede,ZA,0,16,60.33,6.17,-27.43,29.16
450,mackay,CA,75,80,46.4,8.05,53.65,-115.58
451,vostok,RU,0,87,38.55,2.59,46.45,135.83
452,alyangula,AU,0,100,71.58,3.94,-13.85,136.42
453,lujan,AR,68,37,57.18,6.62,-46.57,-67.67
